영업상태명,지번주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
영업/정상,서울특별시 중구 을지로6가 18번지 185호,밀리오레,그 밖의 대규모점포,200664.5829,451781.8684
영업/정상,,굳앤굳 디자이너월드,그 밖의 대규모점포,198079.6943,450952.1745
영업/정상,서울특별시 중구 남창동 51번지 1호,숭례문상가,그 밖의 대규모점포,197831.0027,450794.3148
영업/정상,서울특별시 중구 소공동 1번지,호텔롯데아케이드,그 밖의 대규모점포,198259.6536,451392.1982
영업/정상,서울특별시 중구 신당동 193번지 3호,에이피엠패션몰,그 밖의 대규모점포,201031.4794,451759.2624
영업/정상,서울특별시 중구 산림동 207번지 1호 세운청계상가,청계상가,그 밖의 대규모점포,199521.2008,451751.4241
영업/정상,서울특별시 중구 을지로6가 18번지 35호,헬로우에이피엠,그 밖의 대규모점포,200649.7767,451689.7852
휴업,서울특별시 중구 을지로6가 21번지 31호,롯데패션몰,쇼핑센터,200548.0388,451497.6266
영업/정상,서울특별시 중구 신당1동 217번지 91호,청평화시장,그 밖의 대규모점포,201250.877,451908.7738
영업/정상,서울특별시 중구 신당동 193번지 2 호,디오트,그 밖의 대규모점포,201236.0315,451872.4094
영업/정상,서울특별시 중구 황학동 2545번지,주식회사 이마트 청계천점,대형마트,201823.909,452076.8187
영업/정상,서울특별시 중구 황학동 2545번지,베네치아메가몰,그 밖의 대규모점포,201823.909,452076.8187
영업/정상,서울특별시 중구 명동2가 31번지 1호,엠플라자(M plaza),쇼핑센터,198619.3882,451135.7403
영업/정상,서울특별시 중구 을지로6가 18번지 21호 굿모닝시티쇼핑몰,굿모닝시티 쇼핑몰,쇼핑센터,200573.6413,451621.0365
영업/정상,서울특별시 중구 을지로6가 17번지 48호,평화시장,그 밖의 대규모점포,200644.6738,451908.7
영업/정상,서울특별시 중구 명동2가 83번지 5호,눈스퀘어,그 밖의 대규모점포,198418.7417,451237.1686
휴업,서울특별시 중구 을지로7가 105호   ,라모도 쇼핑몰,그 밖의 대규모점포,200673.0115,451443.2799
폐업,,합동시장,그 밖의 대규모점포,197037.3688,450812.9397
폐업,,(주)심풍유통,그 밖의 대규모점포,200247.4451,451352.512
폐업,,케레스타,그 밖의 대규모점포,198421.6477,451369.5459
폐업,,대한통운마트,그 밖의 대규모점포,,
폐업,,신세계 이마트 청계천점,그 밖의 대규모점포,202011.8001,452413.4129
폐업,,아바타,그 밖의 대규모점포,198418.7417,451237.1686
폐업,,서소문화훼종합물류센터,그 밖의 대규모점포,197263.0683,450957.8472
폐업,,호텔신라아케이트,그 밖의 대규모점포,200632.9855,450610.6109
폐업,,메사,그 밖의 대규모점포,198129.4355,450900.2397
취소/말소/만료/정지/중지,서울특별시 중구 충무로1가 24번지 1호,밀리오레명동,그 밖의 대규모점포,198562.6327,450975.1164
취소/말소/만료/정지/중지,,라모도쇼핑몰,그 밖의 대규모점포,200673.0115,451443.2799
취소/말소/만료/정지/중지,서울특별시 중구 신당동 22번지,패션몰 유어스,그 밖의 대규모점포,200999.3562,451654.4182
영업/정상,서울특별시 용산구 한강로3가 40번지 999호,아이파크몰(I PARK MALL),쇼핑센터,196762.0774,447480.0396
영업/정상,서울특별시 용산구 한남동 631번지 5호 허준빌딩,롯데슈퍼 한남점(가맹점),구분없음,200431.1456,447763.4142
영업/정상,서울특별시 용산구 한강로1가 191호   ,국제센터아케이드,그 밖의 대규모점포,197646.514,447909.0707
영업/정상,서울특별시 용산구 한강로2가 413호   ,(주)전자타운,그 밖의 대규모점포,196775.6399,447984.6345
영업/정상,서울특별시 용산구 한강로2가 191호,LS Avenue,그 밖의 대규모점포,197099.3815,447328.5488
영업/정상,서울특별시 용산구 보광동 260번지 8호,보광시장,시장,199955.4297,447219.1616
영업/정상,서울특별시 용산구 서계동 260번지 1호,만리시장,시장,196716.1659,449892.5577
영업/정상,서울특별시 용산구 이태원동 119번지 25호,해밀톤 쇼핑몰,쇼핑센터,199363.5958,448050.9263
영업/정상,서울특별시 용산구 한강로3가 16번지 9호,(주)에스와이에스홀딩스,전문점,196370.7464,447841.6988
영업/정상,서울특별시 성북구 장위동 60번지 1호,삼익아파트상가,그 밖의 대규모점포,205020.6087,456783.7666
영업/정상,서울특별시 용산구 원효로3가 51번지 30호,원효전자상가,전문점,196385.232,447938.1925
