매장명,지역,브랜드명
부여궁남점,충청남도 부여군 부여읍 사비로 2 (동남리) 투썸플레이스,투썸플레이스
통영루지점,경상남도 통영시 도남동 490-7번지,투썸플레이스
인천청라중앙점,"인천광역시 서구 청라커낼로288번길 10 (청라동,더스페이스타워) 106호",투썸플레이스
양주옥정점,경기도 양주시 회천남로 88 엠타워 2층,투썸플레이스
충남내포청사점,"충청남도 예산군 삽교읍 청사로 190 (목리,내포에드가오피스텔2차) 1층",투썸플레이스
계룡DT점,충남 계룡시 엄사면 엄사리 25-1,투썸플레이스
부산화명코오롱점,"부산광역시 북구 금곡대로285번길 22 (화명동, 월드타워) 103호",투썸플레이스
대전유성봉명점,대전 유성구 봉명동 611-6,투썸플레이스
마포노고산점,서울특별시 마포구 신촌로 128 (노고산동) 적암빌딩 1층,투썸플레이스
진주교대점,경남 진주시 신안동 448-1 진양호로 338,투썸플레이스
제주남원농협하나로마트점,제주특별자치도 서귀포시 남원읍 남조로 52 (남원농협하나로마트) 1층,투썸플레이스
삼성카드사옥점,서울특별시 중구 세종대로 67 (태평로2가) 20층 ,투썸플레이스
부산금정산성점,부산광역시 금정구 산성로 450 (금성동) ,투썸플레이스
은평이마트점,서울특별시 은평구 은평로 114 (응암동) 1층,투썸플레이스
의왕포일점,경기 의왕시 포일동 661-2,투썸플레이스
안산중앙로데오점,경기도 안산시 단원구 고잔1길 40,투썸플레이스
대구지산광장점,"대구광역시 수성구 용학로 297-7 (지산동) 1,2층 (지산동)",투썸플레이스
장충점,서울 중구 장충단로 205-0,투썸플레이스
안양비산늘사랑점,경기도 안양시 동안구 경수대로898번길 14 (비산동) 상가동,투썸플레이스
영등포역점,"서울특별시 영등포구 경인로 847 (영등포동3가) 1, 2층",투썸플레이스
무안남악세영리첼점,전라남도 무안군 삼향읍 남악5로 46 1층,투썸플레이스
청주모충로점,충북 청주시 흥덕구 모충동 493~750 520-13,투썸플레이스
용인신봉점,경기 용인시 수지구 신봉동 47-1 ,투썸플레이스
화성북양DT점,경기도 화성시 남양읍 화성로 1500 ,투썸플레이스
대전만인산점,대전 동구 하소동 458-1,투썸플레이스
강남역더에셋점,"서울특별시 서초구 서초대로74길 14 (서초동, TheAsset) 1층",투썸플레이스
평택베스트원몰점,"경기도 평택시 경기대로 945 (장당동) 1층, 베스트원몰점 ",투썸플레이스
한강미사IS비즈타워점,"경기도 하남시 미사대로 510 (덕풍동, 한강미사아이에스비즈) 140~142호",투썸플레이스
인천부개점,인천광역시 부평구 부흥로 412 (부개동) 1층,투썸플레이스
광주백운초교점,광주 남구 백운동 210-6번지 외 2필지,투썸플레이스
광명밤일점,경기도 광명시 하안동 883-11,투썸플레이스
화성남양점,경기 화성시 남양읍 역골로 29-24,투썸플레이스
김포신곡점,경기도 김포시 고촌읍 수기로 104 (신곡리) 108호,투썸플레이스
인천검단금호점,"인천 서구 원당동 434-12 금호헤리티지 101,102,201,202호 ",투썸플레이스
영등포신길점,서울 영등포구 신길동 4902-7,투썸플레이스
대전둔산블랙타워점,대전 서구 둔산동 1358번지 블랙타워 ,투썸플레이스
부산초읍대공원점,부산광역시 부산진구 새싹로 285-1 (초읍동) 성림빌딩 1층,투썸플레이스
대전둔산대로점,대전 서구 대덕대로 243 1층 투썸플레이스,투썸플레이스
세종시청점,"세종특별자치시 한누리대로 2150 (보람동, 스마트허브Ⅰ) 스마트허브1 102호~104호",투썸플레이스
판교알파돔점,경기도 성남시 분당구 분당내곡로 131 (백현동) 알파돔시티 1층 ,투썸플레이스
송도캠퍼스타운점,"인천광역시 연수구 송도과학로27번길 55 (송도동, 롯데캐슬캠퍼스타운) 상가 B동 209, 210호",투썸플레이스
울산신천점,울산광역시 북구 호계로 400-1 (신천동) 신천동 488번지,투썸플레이스
전주중화산서원로점,전라북도 전주시 완산구 서원로 339 (중화산동1가) 1층,투썸플레이스
양주고덕로점, 경기도 양주시 고읍동 371,투썸플레이스
분당궁내DT점,"경기도 성남시 분당구 대왕판교로 310 (궁내동) 1,2,3층",투썸플레이스
대구시지욱수천점,대구 수성구 신매동 88-5,투썸플레이스
부산명지대방점,"부산광역시 강서구 명지국제2로28번길 34 (명지동, 에코팰리스) 204호 외",투썸플레이스
인천석남역점,"인천광역시 서구 길주로 101-1 (석남동, 대진빌딩) 1층",투썸플레이스
문경온천지구점,경상북도 문경시 문경읍 온천5길 2-1 1층,투썸플레이스
보령중앙점,충남 보령시 보령북로 95(대천동),투썸플레이스
수원여대점,경기 수원시 권선구 온정로30번길 70,투썸플레이스
답십리사거리점,서울 동대문구 답십리로 150,투썸플레이스
청주메가폴리스점,"충청북도 청주시 흥덕구 풍산로 15 (가경동, 대우메가폴리스) 120호~122호 투썸플레이스",투썸플레이스
세종범지기마을점,"세종특별자치시 보듬3로 92 (아름동, 해피라움2) 119호, 212호",투썸플레이스
거제상동점,경남 거제시 상동5길 27,투썸플레이스
구미역점,경상북도 구미시 구미중앙로11길 6 (원평동) 1층,투썸플레이스
마산역점,"경상남도 창원시 마산회원구 마산역광장로 28 (석전동, HOTELPRIMA) ",투썸플레이스
양평용문점,경기 양평군 용문면 다문리 688-6,투썸플레이스
파주운정점,"경기도 파주시 미래로 375 (동패동,삼성메디컬 프라자) 1층",투썸플레이스
광명철산점,경기 광명시 철산로30번길 14,투썸플레이스
신내점,서울특별시 중랑구 용마산로 637 (신내동) 1~2층,투썸플레이스
강서등촌한빛점,"서울특별시 강서구 공항대로45길 33 (등촌동, 한빛어반뉴스토리) 101호",투썸플레이스
용인마북점,경기도 용인시 기흥구 용구대로 2384 (마북동) 1층,투썸플레이스
부산명지오션시티점,"부산광역시 강서구 명지오션시티12로 64 (명지동) 101,102",투썸플레이스
순천용당DT점,전라남도 순천시 강변로 963  (석현동),투썸플레이스
