지역,매장명,브랜드명
인천광역시 남동구 남동대로765번길 25 . ,인천국세청점,메가커피
인천광역시 남동구 인하로 616 107호(구월동커뮤니티프라자) ,인천만월초점,메가커피
인천광역시 남동구 경인로 520,인천경원초점,메가커피
인천광역시 남동구 석산로 15 1층 일부 (간석동) ,간석역점,메가커피
"인천광역시 남동구 인주대로 664 (구월동, 메인프라자 2차) . ",구월팬더점,메가커피
경기도 안산시 단원구 화랑로 160 (초지동) 메가커피 ,안산초지푸르지오점,메가커피
인천광역시 남동구 정각로 34 . ,인천시청점,메가커피
인천광역시 남동구 방축로 503 (간석동) 메가커피 ,간석북부역점,메가커피
인천광역시 남동구 구월남로 198,인천길병원점,메가커피
인천광역시 서구 건지로 264,석남사거리점,메가커피
경기도 안산시 단원구 다리간로 20 ,안산고잔역점,메가커피
인천광역시 남동구 석산로 156,인천간석올리브점,메가커피
경기도 안산시 단원구 선부광장1로 173 (선부동) 메가커피 ,안산라프리모점,메가커피
인천광역시 서구 가정로 127 (가좌동) 메가커피 ,좌봉화초점,메가커피
"경기도 안산시 단원구 선부광장북로 36 (선부동, 벽산블루밍아파트) 메가커피 ",안산선부점,메가커피
경기도 안산시 단원구 광덕서로 86 ,안산법원점,메가커피
인천광역시 남동구 용천로 82 106동(구월동다옴프라자) ,구월정각초점,메가커피
인천광역시 서구 가좌동 261-19 1층 ,인천나은병원점,메가커피
경기도 시흥시 진말로9번길 12,시흥장곡점,메가커피
"경기도 안산지 단원구 광덕대로 154 1층, 142호 (고잔동, 로데오타운) ",안산문화광장점,메가커피
인천광역시 부평구 동암광장로 18 (십정동) 메가커피 ,동암북부역점,메가커피
인천광역시 서구 청라한내로72번길 23,청라시티타워점,메가커피
인천광역시 남동구 백범로 404 (간석동) 메가커피 ,간석오거리역점,메가커피
인천광역시 서구 청라동 83-1 대광단지내상가113호 ,청라센텀로제비앙점,메가커피
인천광역시 부평구 동암남로 4 103호(십정동리치프라자) ,동암남부역점,메가커피
경기도 평택시 청북읍 안청로2길 33-2 107호 ,평택청북점,메가커피
충청남도 예산군 예산읍 역전로 135 1층 ,예산산성점,메가커피
인천광역시 남동구 구월로 276번길 20 메가커피 ,인천모래내시장점,메가커피
인천광역시 서구 청라한내로100번길 24 . ,청라호수공원점,메가커피
경기도 안산시 단원구 원고잔로 17 ,안산고대병원점,메가커피
경기도 안산시 상록구 항가울로 20 ,안산사동중앙점,메가커피
경기도 안산시 단원구 달미로 64 ,안산선부중앙점,메가커피
인천광역시 서구 여우재로 130,제물포중점,메가커피
"인천광역시 남동구 백범로 312-60 1,2층 외 1필지(간석동) ",간석시장점,메가커피
인천광역시 남동구 서창남로 ,인천도림고점,메가커피
인천광역시 서구 원적로 91 108호(가좌동현대아파트) ,인천가좌점,메가커피
인천광역시 부평구 열우물로 90,인천부평더샵점,메가커피
인천광역시 남동구 구월로 314 . ,인천만수5동점,메가커피
경기도 안산시 단원구 달미로 106 ,선부중점,메가커피
경기도 안산시 단원구 고잔로 51 (고잔동) 메가커피 ,안산시청점,메가커피
"경기도 시흥시 장현서3길 10, 1층 일부호 ",시흥장현지구점,메가커피
인천광역시 서구 보석로11번안길 11,청라심곡천점,메가커피
인천광역시 남동구 담방로 36 1층101호 ,인천만수점,메가커피
인천광역시 서구 길주로 91 1층(석남동) ,석남점,메가커피
인천광역시 남동구 호구포로 899,간석벽산점,메가커피
"경기도 안산시 단원구 와동로 3 상가동 103, 104호 ",안산와동빌라삼거리점,메가커피
인천광역시 서구 청라루비로 76 b167호 ,청라스퀘어7점,메가커피
"인천광역시 서구 청라커낼로 264 1층 104호 (청라동, 청라두손중앙프라자) ",청라경서점,메가커피
경기도 화성시 향남읍 삼천병마로 201 103호 ,화성발안점,메가커피
인천광역시 남동구 구월로372번길 93,인천문일여고점,메가커피
경기도 평택시 안중읍 안현로서6길 48 메가커피 ,평택안중점,메가커피
인천광역시 남동구 구월로 358 (만수동) 메가커피 ,만수역점,메가커피
인천광역시 서구 신석로 82,인천성민병원점,메가커피
경기도 안산시 단원구 민속공원로 93 ,안산중앙역점,메가커피
경기도 안산시 상록구 감골2로 44 ,안산사동점,메가커피
인천광역시 남동구 백범로 206 1층(만수동) ,인천만수중앙점,메가커피
