지역,매장명,브랜드명
광주광역시 남구 봉선로 152,광주봉선중앙점,엔제리너스
광주광역시 동구 증심사길 25,광주무등산점,엔제리너스
광주광역시 남구 효우로 170-1 엔젤빌딩,광주빛고을점,엔제리너스
강원도 인제군 상남면 하남리 371 ,내린천휴게소점,엔제리너스
경상북도 의성군 새못안길 45-49,의성휴게소(상)점,엔제리너스
경상북도 의성군 안계면 양곡리 산103-4,의성휴게소(하)점,엔제리너스
경상북도 칠곡군 북삼읍 금오대로 225 1층 ,구미오태점,엔제리너스
"경상북도 구미시 연동 32길 21 1,2층 ",구미진평점,엔제리너스
경상북도 안동시 광명로 175,안동옥동점,엔제리너스
전라남도 목포시 후광대로 110 ,목포법원프라자점,엔제리너스
전라남도 목포시 옥암로 82,목포옥암점,엔제리너스
전라남도 무안군 남악로162번길 80,롯데아울렛남악점,엔제리너스
전라남도 목포시 평화로 86,목포평화광장점,엔제리너스
경상북도 의성군 의성읍 군청길 9 102호 ,경북의성점,엔제리너스
경상북도 칠곡군 동명면 중앙고속도로 123 동명휴게소 부산방향 ,동명휴게소(하,엔제리너스
경상북도 칠곡군 동명면 중앙고속도로 122 동명휴게소 ,동명휴게소(상,엔제리너스
대구광역시 달성군 광주대구고속도로 170,논공휴게소상,엔제리너스
대구광역시 달성군 논공읍 광주대고고속도로 169 ,논공휴게소하,엔제리너스
대구광역시 달서구 계대동문로 2,대구계명대점,엔제리너스
대구광역시 달서구 달구벌대로 1706,대구광장점,엔제리너스
대구광역시 서구 북비산로 36,대구북비산네거리점,엔제리너스
대구광역시 서구 달구벌대로 1813,대구내당점,엔제리너스
대구광역시 북구 옥산로17길 14 칠성동 리치프라자 112호,대구침산점,엔제리너스
대구광역시 북구 침산로 162,대구침산로점,엔제리너스
대구광역시 북구 유통단지로 80,대구인터불고엑스코점,엔제리너스
대구광역시 북구 태평로 161 롯데백화점 대구역,롯데백대구점,엔제리너스
대구광역시 중구 동성로6길 31,대구동성로점,엔제리너스
대구광역시 달서구 월곡로 8,대구수변공원점,엔제리너스
강원도 속초시 동해대로 3988 속초고속버스터미널,속초터미널TO점,엔제리너스
대구광역시 동구 팔공로49길 16,부천역점,엔제리너스
전라남도 순천시 연향번영길 143 엔제리너스 커피 순천 연향점,순천연향점,엔제리너스
대구광역시 동구 공항로 221 공항內 국제선 ,대구공항국제선점,엔제리너스
대구광역시 동구 공항로 221 대구국제공항,대구공항동편점,엔제리너스
대구광역시 동구 공항로 221 빌라드샬롯카페(대구공항점) ,빌라드샬롯카페(대구공항점,엔제리너스
대구광역시 동구 공항로 221 공항內 서편 ,대구공항서편점,엔제리너스
전라남도 순천시 충효로 15 메가박스,메가박스순천점,엔제리너스
대구광역시 동구 동부로30길 1,동대구터미널점,엔제리너스
대구광역시 수성구 수성로 233,대구중동점,엔제리너스
대구광역시 수성구 수성로 140-1,정화팔레스DI점,엔제리너스
대구광역시 동구 효동로6길 30,대구동촌유원지점,엔제리너스
경상남도 진주시 강남로201번길 1,진주예술회관점,엔제리너스
경상남도 의령군 의병로16길 24-1,경남의령점,엔제리너스
전라남도 광양시 중마중앙로 11,광양중동점,엔제리너스
경상남도 진주시 금산순환로587번길 117,진주금호못점,엔제리너스
경상남도 진주시 동진로 440  롯데아울렛진주점 1층 (충무공동 35),롯데아울렛진주점,엔제리너스
경상남도 진주시 영천강로 167,진주혁신도시점,엔제리너스
경상북도 경산시 평사1길 77-60,평사휴게소점,엔제리너스
경상남도 함안군 함마대로 1494,경남함안,엔제리너스
전라남도 여수시 선소로 17,여수학동점,엔제리너스
경상남도 사천시 주공로 30,삼천포벌리점,엔제리너스
경상북도 울진군 울진읍 현내항길 7,울진DI점,엔제리너스
경상북도 경주시 건천읍 경부고속도로 77,건천휴게소(하)점,엔제리너스
경상남도 창원시 마산합포구 현동7길 28,마산현동점,엔제리너스
경상북도 울진군후포면 울진대게로 34-4,울진후포점,엔제리너스
경상남도 창원시 성산구 용지로113번길 23,창원중앙오거리점,엔제리너스
경상남도 창원시 성산구 중앙대로 124 롯데백화점,롯데시네창원점,엔제리너스
경상북도 경주시 산업로 4506,경주D/T점,엔제리너스
경상남도 창원시 성산구 삼정자로72번길  33,창원성주점,엔제리너스
경상북도 포항시 남구 포스코대로 123,포항이동점,엔제리너스
경상북도 포항시 남구 효자동 605-4,포항효자강변점,엔제리너스
경상북도 포항시 북구 두호동 722,포항북부점,엔제리너스
경상남도 김해시 대청계곡길 195-101,김해대청계곡점,엔제리너스
경상남도 김해시 능동로149번길 9,김해장유코아점,엔제리너스
울산광역시 울주군 언양읍 반곡리 966-15 (언동3길 20-48 엔제리너스),언양휴게소점,엔제리너스
경상남도 김해시 번화1로84번길 8,김해장유점,엔제리너스
울산광역시 울주군 봉화로 10,언양삼남점,엔제리너스
경상남도 김해시 장유로 469 롯데아울렛,김해아울렛식당가점,엔제리너스
경상남도 김해시 봉황동 49-18,김해봉황DI점,엔제리너스
경상남도 김해시 부원동 939 (부원역세권지구 A-1블럭 아이스퀘어 1~2층 ),김해아이스퀘어점,엔제리너스
경상남도 통영시 산양일주로 315 유성갈비,통영산양점,엔제리너스
울산광역시 울주근 범서읍 울밀로 2848-3 ,울산굴화DI,엔제리너스
부산광역시 강서구 공항진입  108 김해공항 국제선 면세구역 ,김해공항국제선점,엔제리너스
부산광역시 강서구 공항진입로 108,김해공항점,엔제리너스
울산광역시 남구 대학로 94,울산대점,엔제리너스
부산광역시 북구 금곡대로 201,부산수정역DI점,엔제리너스
부산광역시 북구 덕천1길 24,부산덕천점,엔제리너스
"부산광역시 북구 만덕대로 37, 센트럴 병원 1층 ",센트럴병원점,엔제리너스
부산광역시 사상구 모라로 98-9 OK삼겹살감자탕,부산신모라점,엔제리너스
부산광역시 사상구 사상로 220 신한은행사상중앙지점,부산사상,엔제리너스
경상남도 거제시 옥포대첩로 57,거제옥포점,엔제리너스
부산광역시 사상구 광장로 60 르네상스 호텔,르네상스점,엔제리너스
경상남도 거제시 옥포동 241-1,롯데마트거제옥포점,엔제리너스
부산광역시 북구 덕천로 313,부산만덕점,엔제리너스
울산광역시 중구 강북로 105 롯데캐슬스카이,울산성남강변점,엔제리너스
부산광역시 금정구 중앙대로 1942 우남타워 1층,부산두실역점,엔제리너스
경상남도 거제시 아주로 20-1,거제아주,엔제리너스
울산광역시 중구 번영로 583,울산병영점,엔제리너스
부산광역시 사상구 주례로10번길 110 주례맨션,부산주례점,엔제리너스
부산광역시 사하구 낙동대로 433,부산당리점,엔제리너스
부산광역시 동래구 사직로 45,사직야구장점,엔제리너스
