지역,매장명,브랜드명
부산광역시 강서구 공항진입  108 김해공항 국제선 면세구역 ,충남태안점,엔제리너스
부산광역시 강서구 공항진입로 108,충남태안점,엔제리너스
울산광역시 남구 대학로 94,충남태안점,엔제리너스
부산광역시 북구 금곡대로 201,충남태안점,엔제리너스
부산광역시 북구 덕천1길 24,충남태안점,엔제리너스
"부산광역시 북구 만덕대로 37, 센트럴 병원 1층 ",충남태안점,엔제리너스
부산광역시 사상구 모라로 98-9 OK삼겹살감자탕,충남태안점,엔제리너스
부산광역시 사상구 사상로 220 신한은행사상중앙지점,충남태안점,엔제리너스
경상남도 거제시 옥포대첩로 57,충남태안점,엔제리너스
부산광역시 사상구 광장로 60 르네상스 호텔,충남태안점,엔제리너스
경상남도 거제시 옥포동 241-1,충남태안점,엔제리너스
부산광역시 북구 덕천로 313,충남태안점,엔제리너스
울산광역시 중구 강북로 105 롯데캐슬스카이,충남태안점,엔제리너스
부산광역시 금정구 중앙대로 1942 우남타워 1층,충남태안점,엔제리너스
경상남도 거제시 아주로 20-1,충남태안점,엔제리너스
울산광역시 중구 번영로 583,충남태안점,엔제리너스
부산광역시 사상구 주례로10번길 110 주례맨션,충남태안점,엔제리너스
부산광역시 사하구 낙동대로 433,충남태안점,엔제리너스
부산광역시 동래구 사직로 45,충남태안점,엔제리너스
울산광역시 남구 화합로 194,충남태안점,엔제리너스
울산광역시 남구 삼산중로48번길 13,충남태안점,엔제리너스
울산광역시 남구 삼산로 282 롯데호텔,충남태안점,엔제리너스
부산광역시 부산진구 복지로 70 개금현대I아파트,충남태안점,엔제리너스
부산광역시 부산진구 가야대로 494 대도빌딩,충남태안점,엔제리너스
울산광역시 북구 명촌로 41 솟대,충남태안점,엔제리너스
부산광역시 부산진구 가야대로 772,충남태안점,엔제리너스
부산광역시 부산진구 서면로 74 아이온시티빌딩,충남태안점,엔제리너스
부산광역시 동래구 온천천로 361 대방빌딩,충남태안점,엔제리너스
부산광역시 부산진구 서면로 40 청양빌딩,충남태안점,엔제리너스
부산광역시 부산진구 중앙대로692번길 16 CGV대한,충남태안점,엔제리너스
"부산광역시 부산진구 양정로 62 동의의료원, 동의병원, 동의대학교한방병원",충남태안점,엔제리너스
부산광역시 동구 중앙대로214번길 3-2,충남태안점,엔제리너스
부산광역시 중구 비프광장로 36,충남태안점,엔제리너스
부산광역시 남구 수영로 46-1,충남태안점,엔제리너스
부산광역시 해운대구 재반로 116,충남태안점,엔제리너스
부산광역시 수영구 광안해변로 29-1,충남태안점,엔제리너스
부산광역시 기장군 차성동로 110 엔제리너스 기장점,충남태안점,엔제리너스
"부산광역시 해운대구 마린시티3로 51, 201호 ",충남태안점,엔제리너스
부산광역시 영도구 동삼동 363-16,충남태안점,엔제리너스
울산광역시 동구 상진길 111,충남태안점,엔제리너스
부산광역시 해운대구 해운대로 875,충남태안점,엔제리너스
부산광역시 해운대구 송정해로  50 ,충남태안점,엔제리너스
부산광역시 기장군 기장읍 당사리 64 3F,충남태안점,엔제리너스
부산광역시 기장군 기장읍 당사리 64 1F,충남태안점,엔제리너스
제주특별자치도 제주시 삼봉로 12,충남태안점,엔제리너스
제주특별자치도 제주시 공항로 2,충남태안점,엔제리너스
제주특별자치도 제주시 공항로 2,충남태안점,엔제리너스
제주특별자치도 제주시 공항로 ,충남태안점,엔제리너스
제주특별자치도 제주시 서해안로 24,충남태안점,엔제리너스
제주특별자치도 제주시 연북로 514,충남태안점,엔제리너스
제주특별자치도 제주시 수목원길 65-6,충남태안점,엔제리너스
제주특별자치도 서귀포시 남성중로 2-3,충남태안점,엔제리너스
