지역,매장명,현황,주소,브랜드명
경기 수원시 권선구,수원권선행복점,영업중,경기도 수원시 권선구 권광로 119 (권선동) 1층 할리스,할리스
부산 동래구,부산동래역점,영업중,"부산광역시 동래구 삼성대길 34-25, 1~3층 (명륜동 502-4) 할리스",할리스
서울 은평구,연신내점,영업중,"서울특별시 은평구 연서로 212, (대조동 199-28) 할리스",할리스
서울 송파구,잠실광고회관점,영업중,"서울특별시 송파구 올림픽로35길 137, 한국방송문화회관 1층 (신천동 7-11) 할리스",할리스
경남 창원시 성산구,창원상남점,영업중,경상남도 창원시 성산구 마디미로31번길 3 (상남동 상남동 18-9) 할리스,할리스
서울 송파구,배명사거리점,영업중,"서울특별시 송파구 백제고분로 275, 1층 (석촌동 14-7) 할리스",할리스
서울 관악구,서울대예술문화점,영업중,서울특별시 관악구 관악로 1 서울대예술복합계연구동 1층,할리스
서울 관악구,낙성대역점,영업중,서울특별시 관악구 남부순환로 1922,할리스
서울 노원구,노원문화의거리점,영업중,서울특별시 노원구 노해로81길 22-26 할리스,할리스
부산 해운대구,부산해운대점,영업중,"부산광역시 해운대구 해운대해변로 277, 다옴빌딩 1~2층 (중1동 1412-7) 할리스",할리스
서울 강남구,도곡점,영업중,"서울특별시 강남구 논현로28길 54, 덕원빌딩 1층 (도곡동 422-2) 할리스",할리스
서울 종로구,대명거리점,영업중,서울특별시 종로구 대명길 6 2~4층 할리스,할리스
부산 남구,부산경성대점,영업중,"부산광역시 남구 용소로 7, 청라빌딩 2~3층 (대연동 56-8) 할리스",할리스
경기 성남시 분당구,분당수내엔타워점,영업중,"경기도 성남시 분당구 황새울로200번길 26, 엔타워빌딩 1층 (수내동, 교보생명)",할리스
인천 연수구,인천한옥마을점,영업중,"인천광역시 연수구 테크노파크로 180, 다동 지상1층(송도동)",할리스
인천 남동구,인천구월로데오점,영업중,"인천광역시 남동구 인하로 497-24 (구월동, 조한빌딩) 1층",할리스
서울 강남구,강남역점,영업중,"서울특별시 강남구 강남대로 402, 시계탑빌딩 B1~1층 (역삼동 820-11) 할리스",할리스
대전 서구,대전둔산청솔점,영업중,대전광역시 서구 둔산로 223 제상가 2동 할리스,할리스
경기 수원시 권선구,수원권선점,영업중,경기도 수원시 권선구 권선로 667 (권선동) 1층 할리스,할리스
서울 용산구,용산더프라임점,영업중,서울특별시 용산구 원효로90길 11 더프라임타워 업무동 1층,할리스
경남 창원시 마산회원구,마산터미널점,영업중,"경상남도 창원시 마산회원구 합성옛길 159, 마산시외버스터미널 1층(합성동 267) 할리스",할리스
서울 종로구,세종로점,영업중,"서울특별시 종로구 세종대로 161, 2~3층 (세종로 200) 할리스",할리스
서울 광진구,광장점,영업중,"서울특별시 광진구 광나루로620, 이진빌딩 1층 (구의동 199-2) 할리스",할리스
경기 수원시 팔달구,수원역점,영업중,경기도 수원시 팔달구 향교로 6 (매산로1가),할리스
서울 종로구,종로코리안리빌딩점,영업중,서울특별시 종로구 종로5길 68 코리안리빌딩 1층 할리스,할리스
경기 성남시 분당구,성남터미널점,영업중,"경기도 성남시 분당구 성남대로925번길 16 (야탑동, 분당종합터미널) 1층 할리스",할리스
서울 마포구,합정역점,영업중,서울특별시 마포구 양화로 36 (합정동 374-1) 할리스,할리스
부산 해운대구,부산달맞이점,영업중,"부산광역시 해운대구 달맞이길 199, 2~3층 (중동 1488-14) 할리스",할리스
경기 성남시 수정구,신흥역점,영업중,경기도 성남시 수정구 산성대로 265 (신흥동) 2층 할리스,할리스
서울 관악구,신림점,영업중,서울특별시 관악구 신림로 353-1,할리스
서울 중구,태평로점,영업중,"서울특별시 중구 세종대로 64, 해남빌딩 1층 (태평로2가 70-5) 할리스",할리스
부산 부산진구,부산서면본점,영업중,"부산광역시 부산진구 동천로 73, DS타워 1~2층 (부전동 부전동 169-1) 할리스",할리스
서울 서대문구,신촌점,영업중,서울특별시 서대문구 연세로 34 (창천동 31-12) 할리스,할리스
